KOR,MATH,MEAN
76,95,85.5
96,70,83.0
98,51,74.5
95,67,81.0
81,82,81.5
93,47,70.0
97,73,85.0
79,65,72.0
88,96,92.0
92,80,86.0
64,95,79.5
69,84,76.5
91,94,92.5
99,89,94.0
65,92,78.5
80,70,75.0
95,62,78.5
96,46,71.0
86,95,90.5
89,100,94.5
90,58,74.0
98,92,95.0
98,58,78.0
75,90,82.5
79,80,79.5
59,92,75.5
77,76,76.5
81,82,81.5
77,100,88.5
95,92,93.5
71,92,81.5
90,61,75.5
55,87,71.0
87,59,73.0
61,89,75.0
76,89,82.5
68,90,79.0
55,86,70.5
80,79,79.5
68,90,79.0
63,84,73.5
56,91,73.5
90,59,74.5
80,90,85.0
84,99,91.5
88,83,85.5
86,58,72.0
87,68,77.5
96,72,84.0
79,65,72.0
67,93,80.0
58,82,70.0
92,89,90.5
78,82,80.0
82,98,90.0
98,93,95.5
95,76,85.5
95,99,97.0
91,87,89.0
95,94,94.5
53,93,73.0
76,87,81.5
89,76,82.5
85,89,87.0
54,97,75.5
98,98,98.0
96,84,90.0
68,79,73.5
47,100,73.5
91,81,86.0
84,92,88.0
76,99,87.5
64,76,70.0
94,95,94.5
45,99,72.0
100,68,84.0
73,78,75.5
93,69,81.0
85,67,76.0
47,95,71.0
76,86,81.0
91,89,90.0
76,75,75.5
78,82,80.0
84,85,84.5
93,98,95.5
91,56,73.5
93,59,76.0
76,67,71.5
67,86,76.5
80,73,76.5
92,84,88.0
65,97,81.0
98,70,84.0
84,99,91.5
92,60,76.0
94,56,75.0
95,61,78.0
81,74,77.5
82,63,72.5
83,85,84.0
47,99,73.0
87,69,78.0
48,99,73.5
92,56,74.0
80,65,72.5
80,61,70.5
71,79,75.0
73,78,75.5
95,50,72.5
83,67,75.0
50,94,72.0
63,82,72.5
50,95,72.5
94,91,92.5
74,80,77.0
75,85,80.0
94,91,92.5
87,55,71.0
77,88,82.5
44,99,71.5
89,73,81.0
94,97,95.5
100,89,94.5
56,85,70.5
93,95,94.0
97,97,97.0
72,78,75.0
52,98,75.0
84,97,90.5
96,98,97.0
